A1:1
A2:1
C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
D1:1
G***:2
J1:1
J2:1
J3:1
J4:1
J6:1
J7:1
PS1:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
U1:1
U2:1
